kind,srg_name,owner,descriptor,hint_vanilla_name,MITE_candidates_same_desc,called_by
method,func_74740_e,net/minecraft/nbt/NBTTagCompound,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagCompound::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagDouble,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagDouble::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagFloat,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagFloat::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagInt,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagInt::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagIntArray,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagIntArray::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagList,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagList::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagLong,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagLong::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagShort,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagShort::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagString,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagString::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74743_b,net/minecraft/nbt/NBTTagList,(I)Lnet/minecraft/nbt/NBTBase;,removeTag,net/minecraft/nbt/NBTTagList::removeTag | net/minecraft/nbt/NBTTagList::tagAt,com/sk89q/worldedit/forge/NBTConverter
method,func_74745_c,net/minecraft/nbt/NBTTagList,()I,tagAt,net/minecraft/nbt/NBTTagList::tagCount | net/minecraft/nbt/NBTTagList::hashCode | net/minecraft/nbt/NBTBase::hashCode,com/sk89q/worldedit/forge/NBTConverter
method,func_75620_a,net/minecraft/entity/EntityList,(Ljava/lang/String;Lnet/minecraft/world/World;)Lnet/minecraft/entity/Entity;,createEntityByName,net/minecraft/entity/EntityList::createEntityByName | net/minecraft/entity/EntityList::getEntityInstanceByNameCaseInsensitive,com/sk89q/worldedit/forge/ForgeWorld
